"Honorific.Title","First.Name","Last.Name","Constituency","Province...Territory","Political.Affiliation","Start.Date","End.Date","DirectWebPage","MP_at","Rols","Email","Website","HillOfficeAddressInfo","HillOfficePhoneFaxInfo","MainOfficeAddressInfo","MainOfficePhoneFaxInfo"
"","Ziad","Aboultaif","Edmonton Manning","Alberta","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/ziad-aboultaif(89156)","Edmonton Manning, Alberta
","
                FAAEStanding Committee on Foreign Affairs and International Development
            
    ","ziad.aboultaif@parl.gc.ca","http://ziadaboultaif.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0946
                    Fax: 613-992-0973
                ","
                    Main office -  Edmonton 
                    5515 130 Ave NW 
                    Edmonton, Alberta 
                    T5A 1B7 ","
                    Telephone:  780-822-1540 
Fax:  780-822-1544 "
"","Scott","Aitchison","Parry Sound—Muskoka","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/scott-aitchison(105340)","Parry Sound—Muskoka, Ontario
","
                HUMAStanding Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities
            
    ","Scott.Aitchison@parl.gc.ca","http://scottaitchisonmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-944-7740
                    Fax: 613-992-5092
                ","
                    Main office -  Huntsville 
                    1-15 Northland Lane 
                    Huntsville, Ontario 
                    P1H 1M4 ","
                    Telephone:  705-789-4640 
Fax:  705-789-8857 "
"","Dan","Albas","Central Okanagan—Similkameen—Nicola","British Columbia","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/dan-albas(72029)","Central Okanagan—Similkameen—Nicola, British Columbia
","
                REGSStanding Joint Committee for the Scrutiny of Regulations
            
    ","dan.albas@parl.gc.ca","http://www.danalbas.com","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-1702
                    Fax: 613-995-1154
                ","
                    Main office -  West Kelowna 
                    2562B Main Street 
                    West Kelowna, British Columbia 
                    V4T 2N5 ","
                    Telephone:  1-800-665-8711 
Fax:  250-707-2153 "
"","John","Aldag","Cloverdale—Langley City","British Columbia","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/john-aldag(89258)","Cloverdale—Langley City, British Columbia
","
                INANStanding Committee on Indigenous and Northern Affairs
            
            
                SINASubcommittee on Agenda and Procedure of the Standing Committee on Indigenous and Northern Affairs
            
    ","john.aldag@parl.gc.ca","http://johnaldagmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0884
                    Fax: 613-992-0898
                ","
                    Main office -  Surrey 
                    214-6820 188 St 
                    Surrey, British Columbia 
                    V4N 3G6 ","
                    Telephone:  604-575-6595 
Fax:  604-575-6599 "
"Hon.","Omar","Alghabra","Mississauga Centre","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/omar-alghabra(89535)","Mississauga Centre, Ontario
","
                FAAEStanding Committee on Foreign Affairs and International Development
            
    ","omar.alghabra@parl.gc.ca","http://omaralghabra.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-1301
                    Fax: 613-992-1321
                ","
                    Main office -  Mississauga 
                    506-10 Kingsbridge Garden Circle 
                    Mississauga, Ontario 
                    L5R 3K6 ","
                    Telephone:  905-848-8595 
Fax:  905-848-2712 "
"","Shafqat","Ali","Brampton Centre","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/shafqat-ali(110339)","Brampton Centre, Ontario
","
                ENVIStanding Committee on Environment and Sustainable Development
            
            
                CIMMStanding Committee on Citizenship and Immigration
            
    ","shafqat.ali@parl.gc.ca","http://shafqatali.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-9105
                    Fax: 613-947-0443
                ","
                    Main office -  Brampton 
                    225A-350 Rutherford Rd S 
                    Brampton, Ontario 
                    L6W 4N6 ","
                    Telephone:  905-790-9211 
Fax:  905-790-9507 "
"","Dean","Allison","Niagara West","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/dean-allison(25446)","Niagara West, Ontario
","
                REGSStanding Joint Committee for the Scrutiny of Regulations
            
    ","dean.allison@parl.gc.ca","http://www.deanallison.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-2772
                    Fax: 613-992-2727
                ","
                    Main office -  Beamsville 
                    4994 King Street 
                    Beamsville, Ontario 
                    L0R 1B0 ","
                    Telephone:  905-563-7900 
Fax:  905-563-7500 "
"Hon.","Anita","Anand","Oakville","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/anita-anand(96081)","Oakville, Ontario
","President of the Treasury Board
","Anita.Anand@parl.gc.ca","http://anitaanand.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-4014
                    Fax: 613-992-0520
                ","
                    Main office -  Oakville 
                    301 Robinson Street 
                    Oakville, Ontario 
                    L6J 1G7 ","
                    Telephone:  905-338-2008 
Fax:  905-338-5432 "
"Hon.","Gary","Anandasangaree","Scarborough—Rouge Park","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/gary-anandasangaree(89449)","Scarborough—Rouge Park, Ontario
","Minister of Crown-Indigenous Relations
","gary.anand@parl.gc.ca","http://garyanandasangaree.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-1351
                    Fax: 613-992-1373
                ","
                    Main office -  Toronto 
                    3-3600 Ellesmere Road 
                    Toronto, Ontario 
                    M1C 4Y8 ","
                    Telephone:  416-283-1414 
Fax:  416-283-5012 "
"","Charlie","Angus","Timmins—James Bay","Ontario","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/charlie-angus(25470)","Timmins—James Bay, Ontario
","
                RNNRStanding Committee on Natural Resources
            
            
                SRNNSubcommittee on Agenda and Procedure of the Standing Committee on Natural Resources
            
    ","charlie.angus@parl.gc.ca","http://www.charlieangus.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2919
                    Fax: 613-995-0747
                ","
                    Main office -  Timmins 
                    405-273 Third Avenue 
                    Timmins, Ontario 
                    P4N 1E2 ","
                    Telephone:  705-268-6464 
Fax:  705-268-6460 "
